"url","desc","time_string","hour","min","sec","time","type","total_time_in_secs","x"
"https://www.guinnessworldrecords.com/world-records/465340-fastest-marathon-dressed-as-a-three-dimensional-toy-male","Fastest marathon dressed as a three dimensional toy (male)","4 hr 59 min 30 sec",4,59,30,"4:59:30","full",17970,1
"https://www.guinnessworldrecords.com/world-records/114765-fastest-marathon-dressed-as-a-medical-instrument","Fastest marathon dressed as a piece of medical equipment (male)","3 hrs 48 min 9 sec",3,48,9,"3:48:09","full",13689,0.879269157443036
"https://www.guinnessworldrecords.com/world-records/415096-fastest-marathon-dressed-as-a-circus-strongman-male","Fastest marathon dressed as a circus strongperson (male)","3 hr 19 min 30 sec",3,19,30,"3:19:30","full",11970,1.04602799852881
"https://www.guinnessworldrecords.com/world-records/589789-fastest-marathon-dressed-as-a-three-dimensional-shoe-male","Fastest marathon dressed as a three dimensional shoe (male)","3 hr 54 min 17 sec",3,54,17,"3:54:17","full",14057,1.02099731055407
"https://www.guinnessworldrecords.com/world-records/fastest-marathon-dressed-as-a-book-character","Fastest marathon dressed as a book character (male)","2 hr 42 min 17 sec",2,42,17,"2:42:17","full",9737,0.98533206474166
"https://www.guinnessworldrecords.com/world-records/499560-fastest-marathon-dressed-as-a-stationery-item-male","Fastest marathon dressed as a stationery item (male)","3 hr 33 min 13 sec",3,33,13,"3:33:13","full",12793,0.990065781302459
"https://www.guinnessworldrecords.com/world-records/556558-fastest-marathon-dressed-as-an-astronomical-body-male","Fastest marathon dressed as an astronomical body (male)","3 hr 52 min 40 sec",3,52,40,"3:52:40","full",13960,0.94688130081056
"https://www.guinnessworldrecords.com/world-records/534584-fastest-marathon-dressed-as-a-stationery-item-female","Fastest marathon dressed as a stationery item (female)","3 hr 54 min 25 sec",3,54,25,"3:54:25","full",14065,0.972780653786289
"https://www.guinnessworldrecords.com/world-records/497436-fastest-marathon-dressed-as-a-hospital-patient-male","Fastest marathon dressed as a hospital patient (male)","3 hr 40 min 38 sec",3,40,38,"3:40:38","full",13238,0.94930209175966
"https://www.guinnessworldrecords.com/world-records/fastest-marathon-dressed-as-a-television-character-(male)","Fastest marathon dressed as a television character (male)","2 hr 49 min 51 sec",2,49,51,"2:49:51","full",10191,1.04987654611866
"https://www.guinnessworldrecords.com/world-records/93991-fastest-marathon-dressed-as-a-television-character-female","Fastest marathon dressed as a television character (female)","3 hrs 54 min 58 sec",3,54,58,"3:54:58","full",14098,1.07445255218335
"https://www.guinnessworldrecords.com/world-records/fastest-marathon-dressed-as-a-cartoon-character-(female)","Fastest marathon dressed as a cartoon character (female)","3 hrs 24 min 28 sec",3,24,28,"3:24:28","full",12268,0.933082401856325
"https://www.guinnessworldrecords.com/world-records/375738-fastest-marathon-dressed-as-a-landmark-male","Fastest marathon dressed as a landmark building (male)","3 hr 34 min 34 sec",3,34,34,"3:34:34","full",12874,0.934023577613005
