"url","desc","time_string","hour","min","sec","time","type","total_time_in_secs","outfit","last_update"
"https://www.guinnessworldrecords.com/world-records/372384-fastest-marathon-dressed-as-an-elf-male","Fastest marathon dressed as an elf (male)","2 hr 58 min 16 sec",2,58,16,"2:58:16","full",10696,"elf (male)",2020-09-06
"https://www.guinnessworldrecords.com/world-records/424407-fastest-marathon-dressed-as-a-snowboarder","Fastest marathon dressed as a snowboarder (male)","5 hr 21 min 50 sec",5,21,50,"5:21:50","full",19310,"snowboarder (male)",2020-09-06
"https://www.guinnessworldrecords.com/world-records/97013-fastest-marathon-dressed-as-a-star","Fastest marathon dressed as a star (male)","4 hrs 5 min 42 sec",4,5,42,"4:05:42","full",14742,"star (male)",2020-09-06
"https://www.guinnessworldrecords.com/world-records/520867-fastest-marathon-dressed-as-a-national-flag-male","Fastest marathon dressed as a flag (male)","2 hrs 54 min 34 sec",2,54,34,"2:54:34","full",10474,"flag (male)",2020-09-06
"https://www.guinnessworldrecords.com/world-records/421489-fastest-marathon-dressed-as-an-elf-female","Fastest marathon dressed as an elf (female)","3 hr 27 min 04 sec",3,27,4,"3:27:04","full",12424,"elf (female)",2020-09-06
"https://www.guinnessworldrecords.com/world-records/423833-fastest-marathon-dressed-as-a-witch-female","Fastest marathon dressed as a witch (female)","3 hrs 26 min 13 sec",3,26,13,"3:26:13","full",12373,"witch (female)",2020-09-06
"https://www.guinnessworldrecords.com/world-records/fastest-marathon-dressed-as-a-bottle-(male)","Fastest marathon dressed as a bottle (male)","3 hr 09 min 37 sec",3,9,37,"3:09:37","full",11377,"bottle (male)",2020-09-06
"https://www.guinnessworldrecords.com/world-records/fastest-marathon-dressed-as-a-gingerbread-man","Fastest marathon dressed as a gingerbread person","3 hr 14 min 15 sec",3,14,15,"3:14:15","full",11655,"gingerbread person",2020-09-06
"https://www.guinnessworldrecords.com/world-records/fastest-marathon-dressed-as-a-bottle-(female)","Fastest marathon dressed as a bottle (female)","3 hr 57 min 57 sec",3,57,57,"3:57:57","full",14277,"bottle (female)",2020-09-06
"https://www.guinnessworldrecords.com/world-records/fastest-marathon-dressed-as-a-telephone-box","Fastest marathon dressed as a telephone box","4 hrs 6 min and 37 sec",4,6,37,"4:06:37","full",14797,"telephone box",2020-09-06
